id,stress_level,category,trigger_tag,recommendation_text,duration_minutes,frequency_per_day,suggested_timing,cultural_note,evidence_note,source_name,source_url
11,low,meditation,burnout,Mindful breathing (Anapanasati): focus on breath at nostrils for 7 minutes,7,1,weekends,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
12,low,meditation,burnout,Body-scan relaxation: relax from head to toes for 3 minutes,3,1,after work,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
13,low,meditation,low_mood,Body-scan relaxation: relax from head to toes for 10 minutes,10,2,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
14,low,meditation,burnout,Short guided mindfulness practice (ACT-style) for 5 minutes,5,2,after work,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
15,low,meditation,burnout,Mindful breathing (Anapanasati): focus on breath at nostrils for 7 minutes,7,1,weekends,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
16,low,meditation,burnout,Loving-kindness (Metta) reflection for 5 minutes,5,2,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
17,low,sleep_plan,screen_time,Reduce screen time 60 minutes before bed; use dim light after 7:00 PM,10,1,evening,Sri Lanka context: reduce late-night mobile/social media use.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
18,low,sleep_plan,late_bedtime,Avoid tea/coffee after 3:00 PM and keep dinner before 8:30 PM,10,2,weekends,Sri Lanka context: limit strong tea/coffee in the evening.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
19,low,sleep_plan,insomnia,Avoid tea/coffee after 3:00 PM and keep dinner before 7:30 PM,15,2,after work,Sri Lanka context: limit strong tea/coffee in the evening.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
20,low,sleep_plan,screen_time,"Keep bedroom cool, dark, quiet; use fan/ventilation if needed",5,1,after work,Sri Lanka context: reduce late-night mobile/social media use.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
21,low,sleep_plan,caffeine,"Keep bedroom cool, dark, quiet; use fan/ventilation if needed",5,1,after work,Sri Lanka context: limit strong tea/coffee in the evening.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
22,low,sleep_plan,night_awakenings,Avoid tea/coffee after 3:00 PM and keep dinner before 7:30 PM,7,2,weekends,Sri Lanka context: reduce late-night mobile/social media use.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
23,low,sleep_plan,caffeine,Avoid tea/coffee after 3:00 PM and keep dinner before 8:00 PM,5,1,evening,Sri Lanka context: avoid heavy late-night rice meals when possible.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
24,low,sleep_plan,night_awakenings,"Keep bedroom cool, dark, quiet; use fan/ventilation if needed",7,1,evening,Sri Lanka context: limit strong tea/coffee in the evening.,Use as a preventive habit.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
25,low,calming_audio,bedtime_stress,Listen to nature sounds (rain/ocean) for 7 minutes to unwind,7,2,after work,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
26,low,calming_audio,overthinking,Listen to slow instrumental music (~60–80 BPM) for 3 minutes,3,2,evening,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
27,low,calming_audio,commute_stress,Listen to slow instrumental music (~60–80 BPM) for 5 minutes,5,1,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
28,low,calming_audio,bedtime_stress,Listen to nature sounds (rain/ocean) for 10 minutes to unwind,10,1,after work,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
29,low,calming_audio,trouble_relaxing,Listen to slow instrumental music (~60–80 BPM) for 5 minutes,5,2,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
30,low,calming_audio,overthinking,Listen to slow instrumental music (~60–80 BPM) for 7 minutes,7,2,weekends,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
31,low,calming_audio,trouble_relaxing,Listen to nature sounds (rain/ocean) for 3 minutes to unwind,3,2,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
32,low,calming_audio,commute_stress,Listen to nature sounds (rain/ocean) for 7 minutes to unwind,7,2,weekends,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
33,low,lifestyle,poor_routine,Brief prayer/quiet time at temple/church/mosque or at home for 3 minutes,3,1,weekends,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
34,low,lifestyle,sedentary,Brief prayer/quiet time at temple/church/mosque or at home for 7 minutes,7,2,after work,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
35,low,lifestyle,long_commute,Hydrate well and take a short break from screens every 60–90 minutes,30,1,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
36,low,lifestyle,sedentary,Limit heavy late-night meals; choose lighter options if eating late,30,2,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
37,low,lifestyle,overwork,Limit heavy late-night meals; choose lighter options if eating late,15,2,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
38,low,lifestyle,poor_routine,Brief prayer/quiet time at temple/church/mosque or at home for 5 minutes,5,2,after work,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
39,low,lifestyle,poor_routine,Limit heavy late-night meals; choose lighter options if eating late,30,1,weekends,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
40,low,lifestyle,overwork,Brief prayer/quiet time at temple/church/mosque or at home for 3 minutes,3,1,after work,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
41,medium,breathing,anxiety,"Grounding + breathing: notice 5 things you see, then do slow breathing for 5 minutes",5,1,morning,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
42,medium,breathing,panic,"4–6 breathing: inhale 4s, exhale 6s for 7 minutes",7,2,afternoon break,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
43,medium,breathing,restlessness,"Grounding + breathing: notice 5 things you see, then do slow breathing for 15 minutes",15,2,afternoon break,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
44,medium,breathing,restlessness,"Grounding + breathing: notice 5 things you see, then do slow breathing for 7 minutes",7,2,evening,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
45,medium,breathing,panic,"Grounding + breathing: notice 5 things you see, then do slow breathing for 3 minutes",3,1,afternoon break,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
46,medium,breathing,panic,"4–6 breathing: inhale 4s, exhale 6s for 7 minutes",7,3,afternoon break,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
47,medium,breathing,restlessness,"Box breathing: inhale 4s, hold 4s, exhale 4s, hold 4s for 10 minutes",10,1,evening,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
48,medium,breathing,anxiety,"Grounding + breathing: notice 5 things you see, then do slow breathing for 10 minutes",10,2,morning,,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
49,medium,meditation,burnout,Loving-kindness (Metta) reflection for 15 minutes,15,3,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
50,medium,meditation,low_mood,Short guided mindfulness practice (ACT-style) for 10 minutes,10,2,evening,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
51,medium,meditation,irritability,Body-scan relaxation: relax from head to toes for 7 minutes,7,2,morning,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
52,medium,meditation,burnout,Short guided mindfulness practice (ACT-style) for 3 minutes,3,1,morning,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
53,medium,meditation,racing_thoughts,Mindful breathing (Anapanasati): focus on breath at nostrils for 7 minutes,7,3,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
54,medium,meditation,low_mood,Body-scan relaxation: relax from head to toes for 15 minutes,15,1,afternoon break,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
55,medium,meditation,irritability,Body-scan relaxation: relax from head to toes for 15 minutes,15,3,morning,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
56,medium,meditation,burnout,Body-scan relaxation: relax from head to toes for 15 minutes,15,2,morning,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
57,medium,sleep_plan,insomnia,"If you can’t sleep in 20 minutes, get up and do a calm activity, then return to bed",5,1,morning,Sri Lanka context: limit strong tea/coffee in the evening.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
58,medium,sleep_plan,late_bedtime,"Keep bedroom cool, dark, quiet; use fan/ventilation if needed",3,3,evening,Sri Lanka context: limit strong tea/coffee in the evening.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
59,medium,sleep_plan,insomnia,Sleep plan: keep a fixed bedtime 10:30 PM and wake time 6:00 AM daily,5,2,afternoon break,Sri Lanka context: reduce late-night mobile/social media use.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
60,medium,sleep_plan,late_bedtime,"Keep bedroom cool, dark, quiet; use fan/ventilation if needed",3,3,afternoon break,Sri Lanka context: limit strong tea/coffee in the evening.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
61,medium,sleep_plan,night_awakenings,Sleep plan: keep a fixed bedtime 10:00 PM and wake time 6:00 AM daily,7,2,morning,Sri Lanka context: avoid heavy late-night rice meals when possible.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
62,medium,sleep_plan,caffeine,Sleep plan: keep a fixed bedtime 10:00 PM and wake time 6:00 AM daily,5,3,morning,Sri Lanka context: limit strong tea/coffee in the evening.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
63,medium,sleep_plan,screen_time,Avoid tea/coffee after 2:00 PM and keep dinner before 8:30 PM,15,2,morning,Sri Lanka context: avoid heavy late-night rice meals when possible.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
64,medium,sleep_plan,screen_time,Avoid tea/coffee after 4:00 PM and keep dinner before 7:30 PM,15,2,evening,Sri Lanka context: limit strong tea/coffee in the evening.,Practice daily for 1–2 weeks and monitor changes.,Sri Lanka Journal of Child Health: Sleep hygiene study (2022) (PDF),https://sljch.sljol.info/articles/10211/files/submission/proof/10211-1-39724-1-10-20220714.pdf
65,medium,calming_audio,commute_stress,Listen to slow instrumental music (~60–80 BPM) for 7 minutes,7,2,afternoon break,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
66,medium,calming_audio,overthinking,Listen to slow instrumental music (~60–80 BPM) for 5 minutes,5,2,evening,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
67,medium,calming_audio,bedtime_stress,Listen to calming Pirith/Paritta chanting for 15 minutes at low volume,15,3,afternoon break,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
68,medium,calming_audio,bedtime_stress,Listen to nature sounds (rain/ocean) for 3 minutes to unwind,3,1,evening,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
69,medium,calming_audio,bedtime_stress,Listen to calming Pirith/Paritta chanting for 3 minutes at low volume,3,3,morning,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
70,medium,calming_audio,commute_stress,Listen to slow instrumental music (~60–80 BPM) for 3 minutes,3,2,afternoon break,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
71,medium,calming_audio,overthinking,Listen to nature sounds (rain/ocean) for 7 minutes to unwind,7,3,morning,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
72,medium,calming_audio,overthinking,Listen to calming Pirith/Paritta chanting for 10 minutes at low volume,10,3,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,Healing through Pirit Chanting in Sri Lanka (PDF),https://www.cujucr.com/downloads/pdf_8_2010/Lasanthi.pdf
73,medium,lifestyle,overwork,Evening walk 15–30 minutes in a safe calm area,30,3,afternoon break,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
74,medium,lifestyle,long_commute,Light stretching/yoga for 3 minutes,3,2,evening,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
75,medium,lifestyle,overwork,Limit heavy late-night meals; choose lighter options if eating late,10,2,morning,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
76,medium,lifestyle,sedentary,Brief prayer/quiet time at temple/church/mosque or at home for 5 minutes,5,3,morning,Sri Lanka context: can be done at home or during temple/quiet time.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
77,medium,lifestyle,overwork,Light stretching/yoga for 7 minutes,7,2,afternoon break,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
78,medium,lifestyle,long_commute,Hydrate well and take a short break from screens every 60–90 minutes,15,2,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
79,medium,lifestyle,social_isolation,Brief prayer/quiet time at temple/church/mosque or at home for 3 minutes,3,2,afternoon break,Sri Lanka context: suitable for long bus/train commutes.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
80,medium,lifestyle,social_isolation,Light stretching/yoga for 3 minutes,3,1,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Practice daily for 1–2 weeks and monitor changes.,HPB Sri Lanka Health Promoting Workplace Programme Guideline 2024 (PDF),https://hpb.health.gov.lk/wp-content/uploads/2024/12/National-Guideline-for-Health-Promoting-Workplace-Programme-Sri-Lanka-2024.pdf
81,high,breathing,restlessness,"Slow belly breathing: inhale through nose, exhale longer than inhale for 7 minutes",7,2,during acute stress,,"Prioritize today; if symptoms feel overwhelming, consider professional support.",WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
82,high,breathing,restlessness,"Grounding + breathing: notice 5 things you see, then do slow breathing for 5 minutes",5,3,morning + evening,,"Prioritize today; if symptoms feel overwhelming, consider professional support.",WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
83,high,breathing,panic,"4–6 breathing: inhale 4s, exhale 6s for 10 minutes",10,2,before sleep,,"Prioritize today; if symptoms feel overwhelming, consider professional support.",WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
84,high,breathing,work_pressure,"Box breathing: inhale 4s, hold 4s, exhale 4s, hold 4s for 3 minutes",3,4,morning + evening,,"Prioritize today; if symptoms feel overwhelming, consider professional support.",WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
85,high,breathing,anxiety,"Grounding + breathing: notice 5 things you see, then do slow breathing for 7 minutes",7,2,before sleep,,"Prioritize today; if symptoms feel overwhelming, consider professional support.",WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
